//,패키지    : 50000 ~ ( 500 ),,,,,,,,,,,,,,,,,,루비(5000),슈퍼백신(802),부활석(1200),,,,,,,,,,,,,,,,,,,,,,,,,,
//,              필수(50000 ~ 59999(관리자가 입력:테이블사용불가),,,,,,,,,,,,,,,,,코인(0),코인(5100),알바의귀재(1002),합성 1시간단축(1600),,,,,,,,,,,,,,,,,,,,,,,,,,
//,동물뽑기 : 60000 ~  ( 600 ),,,,,,,,,,,,,,,,,루비(1),하트(2000),특수촉진제(1103),긴급요청 티켓(2100),,,,,,,,,,,,,,,,,,,,,,,,,,
//,야바위    : 70000 ~  ( 700 ),,,,,,,,,,,,,,,,,하트(2),건초(900),,일반 교배 티켓(2200),,,,,,,,,,,,,,,,,,,,,,,,,,
//label(version),보물      : 120000 ~ ( 1200 ) ,,,,,,,,,,,,,,,,,건초(3),우정포인트(1900),,프리미엄 교배 티켓(2300),,,,,,,,,,,,,,,,,,,,,,,,,,
//,보물뽑기 : 130000 ~ ( 1300 ) ,,,,,,,,,,,"동물, 보물에서는 뽑기 오픈조건임",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//,,,,,,,,,,,,,묶음가격,묶음가격,,단일가격,,param1,param2,param3,param4,param5,param6,param7,param8,param9,param10,param11,param12,param13,param14,param15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30
//,아이템 코드,카테고리,서브 카테고리,장착 슬롯,아이템 이름,사용 여부,상단게시,등급,세일여부,아이콘,판매요구 레벨,요구 주택 레벨,코인가격,캐시가격,1회구매수량,판매,아이템 설명,액세서리 슬롯(사용안함),등급을 색으로변경,생산 속도(단계),신선도(다른것이 사용됨 이제는 사용안함),질병 저항,먹이 소모량,아이템 생산 확률(%),피버 생산 확률(%),몸체,회북요구량,먹이통 최대,부활타임(1h),부활석 소모,특수능력,상인거래단가상승,코인,하트,세포 촉진제,신선도,,턴타임,,시간,,방어,,HP,,레벨당 유전자필요수량,
label(animal),itemcode,category,subcategory,equpslot,itemname,activate,toplist,grade,discount,icon,playerlv,houselv,gamecost,cashcost,buyamount,sellcost,description,accessorykind,stargrade,milkspeed,milkfresh,res_disease,consume,coin_creation,fever_creation,bodycode,healpoint,consumeinit,revivaltime,reviveconsume,special_ability,animal_danga,upgamecost,upheart,upboost,freshbase,freshconst,attbase,attconst,timebase,timeconst,defbase,defconst,hpbase,hpconst,upstep,upstepmax
,90215,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드110,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),711,누적늑대잡이(1),12,없음(0),0,51,90216,누적판매금액(11),없음(0),90214,,,,,,,,,,,,,,,,,,,
,90216,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드111,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),20,누적판매금액(11),4000,없음(0),0,52,90217,누적늑대잡이(1),없음(0),90215,,,,,,,,,,,,,,,,,,,
,90217,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드112,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90218,누적배럴(18),없음(0),90216,,,,,,,,,,,,,,,,,,,
,90218,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드113,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적배럴(18),90,없음(0),0,55,90219,누적판매금액(11),없음(0),90217,,,,,,,,,,,,,,,,,,,
,90219,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드114,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),811,누적판매금액(11),4000,없음(0),0,52,90220,누적늑대잡이(1),없음(0),90218,,,,,,,,,,,,,,,,,,,
,90220,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드115,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),15,없음(0),0,51,90221,필드동물배치(70),없음(0),90219,,,,,,,,,,,,,,,,,,,
,90221,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드116,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),107,필드동물배치(70),205,없음(0),0,47,90222,임시일반보물뽑기(23),없음(0),90220,,,,,,,,,,,,,,,,,,,
,90222,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드117,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시일반보물뽑기(23),1,없음(0),0,64,90223,임시보물강화횟수(25),없음(0),90221,,,,,,,,,,,,,,,,,,,
,90223,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드118,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시보물강화횟수(25),2,없음(0),0,67,90224,임시배틀참여횟수(26),없음(0),90222,,,,,,,,,,,,,,,,,,,
,90224,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드119,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시배틀참여횟수(26),3,없음(0),0,69,90225,임시동물강화(27),없음(0),90223,,,,,,,,,,,,,,,,,,,
,90225,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드120,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시동물강화(27),10,없음(0),0,71,90226,임시동물분해(28),없음(0),90224,,,,,,,,,,,,,,,,,,,
,90226,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드121,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시동물분해(28),3,없음(0),0,73,90227,임시보물분해(29),없음(0),90225,,,,,,,,,,,,,,,,,,,
,90227,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드122,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시보물분해(29),4,없음(0),0,74,90228,임시동물합성(20),없음(0),90226,,,,,,,,,,,,,,,,,,,
,90228,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드123,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시동물합성(20),1,없음(0),0,76,90229,누적판매금액(11),없음(0),90227,,,,,,,,,,,,,,,,,,,
,90229,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드124,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1112,누적판매금액(11),5000,없음(0),0,52,90230,누적늑대잡이(1),없음(0),90228,,,,,,,,,,,,,,,,,,,
,90230,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드125,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90231,연속성공횟수(14),없음(0),90229,,,,,,,,,,,,,,,,,,,
,90231,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드126,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,연속성공횟수(14),4,없음(0),0,54,90232,누적판매금액(11),없음(0),90230,,,,,,,,,,,,,,,,,,,
,90232,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드127,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적판매금액(11),4000,없음(0),0,52,90233,누적배럴(18),없음(0),90231,,,,,,,,,,,,,,,,,,,
,90233,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드128,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1025,누적배럴(18),70,없음(0),0,55,90234,누적판매금액(11),없음(0),90232,,,,,,,,,,,,,,,,,,,
,90234,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드129,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,누적판매금액(11),5000,없음(0),0,52,90235,누적늑대잡이(1),없음(0),90233,,,,,,,,,,,,,,,,,,,
,90235,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드130,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90236,누적건초획득(13),없음(0),90234,,,,,,,,,,,,,,,,,,,
,90236,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드131,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),20,누적건초획득(13),160,없음(0),0,53,90237,누적배럴(18),없음(0),90235,,,,,,,,,,,,,,,,,,,
,90237,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드132,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,누적배럴(18),90,없음(0),0,55,90238,연속성공횟수(14),없음(0),90236,,,,,,,,,,,,,,,,,,,
,90238,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드133,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,연속성공횟수(14),4,없음(0),0,54,90239,누적판매금액(11),없음(0),90237,,,,,,,,,,,,,,,,,,,
,90239,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드134,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적판매금액(11),4000,없음(0),0,52,90240,누적늑대잡이(1),없음(0),90238,,,,,,,,,,,,,,,,,,,
,90240,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드135,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2101,누적늑대잡이(1),15,없음(0),0,51,90241,필드동물배치(70),없음(0),90239,,,,,,,,,,,,,,,,,,,
,90241,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드136,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),205,필드동물배치(70),10,없음(0),0,47,90242,임시일반보물뽑기(23),없음(0),90240,,,,,,,,,,,,,,,,,,,
,90242,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드137,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시일반보물뽑기(23),1,없음(0),0,64,90243,임시보물강화횟수(25),없음(0),90241,,,,,,,,,,,,,,,,,,,
,90243,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드138,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시보물강화횟수(25),1,없음(0),0,67,90244,임시배틀참여횟수(26),없음(0),90242,,,,,,,,,,,,,,,,,,,
,90244,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드139,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시배틀참여횟수(26),5,없음(0),0,69,90245,임시동물강화(27),없음(0),90243,,,,,,,,,,,,,,,,,,,
,90245,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드140,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),700,임시동물강화(27),15,없음(0),0,71,90246,임시동물분해(28),없음(0),90244,,,,,,,,,,,,,,,,,,,
,90246,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드141,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),500,임시동물분해(28),2,없음(0),0,73,90247,임시보물분해(29),없음(0),90245,,,,,,,,,,,,,,,,,,,
,90247,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드142,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),500,임시보물분해(29),3,없음(0),0,74,90248,임시동물합성(20),없음(0),90246,,,,,,,,,,,,,,,,,,,
,90248,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드143,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시동물합성(20),1,없음(0),0,76,90249,누적건초획득(13),없음(0),90247,,,,,,,,,,,,,,,,,,,
,90249,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드144,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적건초획득(13),160,없음(0),0,53,90250,누적늑대잡이(1),없음(0),90248,,,,,,,,,,,,,,,,,,,
,90250,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드145,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적늑대잡이(1),15,없음(0),0,51,90251,누적판매금액(11),없음(0),90249,,,,,,,,,,,,,,,,,,,
,90251,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드146,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),811,누적판매금액(11),5000,없음(0),0,52,90252,누적배럴(18),없음(0),90250,,,,,,,,,,,,,,,,,,,
,90252,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드147,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),711,누적배럴(18),70,없음(0),0,55,90253,연속성공횟수(14),없음(0),90251,,,,,,,,,,,,,,,,,,,
,90253,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드148,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,연속성공횟수(14),4,없음(0),0,54,90254,누적배럴(18),없음(0),90252,,,,,,,,,,,,,,,,,,,
,90254,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드149,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),30,누적배럴(18),90,없음(0),0,55,90255,누적건초획득(13),없음(0),90253,,,,,,,,,,,,,,,,,,,
,90255,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드150,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,누적건초획득(13),320,없음(0),0,53,90256,누적일반교배(21),없음(0),90254,,,,,,,,,,,,,,,,,,,
,90256,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드151,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적일반교배(21),4,없음(0),0,56,90257,누적판매금액(11),없음(0),90255,,,,,,,,,,,,,,,,,,,
,90257,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드152,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,누적판매금액(11),5000,없음(0),0,52,90258,필드동물배치(70),없음(0),90256,,,,,,,,,,,,,,,,,,,
,90258,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드153,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),206,필드동물배치(70),109,없음(0),0,48,90259,임시일반보물뽑기(23),없음(0),90257,,,,,,,,,,,,,,,,,,,
,90259,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드154,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시일반보물뽑기(23),1,없음(0),0,64,90260,임시보물강화횟수(25),없음(0),90258,,,,,,,,,,,,,,,,,,,
,90260,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드155,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시보물강화횟수(25),1,없음(0),0,67,90261,임시배틀참여횟수(26),없음(0),90259,,,,,,,,,,,,,,,,,,,
,90261,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드156,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),1000,임시배틀참여횟수(26),10,없음(0),0,69,90262,임시동물강화(27),없음(0),90260,,,,,,,,,,,,,,,,,,,
,90262,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드157,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),800,임시동물강화(27),8,없음(0),0,71,90263,임시동물분해(28),없음(0),90261,,,,,,,,,,,,,,,,,,,
,90263,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드158,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시동물분해(28),2,없음(0),0,73,90264,임시보물분해(29),없음(0),90262,,,,,,,,,,,,,,,,,,,
,90264,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드159,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),800,임시보물분해(29),4,없음(0),0,74,90265,임시동물합성(20),없음(0),90263,,,,,,,,,,,,,,,,,,,
,90265,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드160,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시동물합성(20),1,없음(0),0,76,90266,연속성공횟수(14),없음(0),90264,,,,,,,,,,,,,,,,,,,
,90266,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드161,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2101,연속성공횟수(14),5,없음(0),0,54,90267,누적늑대잡이(1),없음(0),90265,,,,,,,,,,,,,,,,,,,
,90267,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드162,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적늑대잡이(1),15,없음(0),0,51,90268,누적판매금액(11),없음(0),90266,,,,,,,,,,,,,,,,,,,
,90268,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드163,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1025,누적판매금액(11),7000,없음(0),0,52,90269,누적건초획득(13),없음(0),90267,,,,,,,,,,,,,,,,,,,
,90269,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드164,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),811,누적건초획득(13),320,없음(0),0,53,90270,누적일반교배(21),없음(0),90268,,,,,,,,,,,,,,,,,,,
,90270,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드165,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적일반교배(21),4,없음(0),0,56,90271,누적건초획득(13),없음(0),90269,,,,,,,,,,,,,,,,,,,
,90271,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드166,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1112,누적건초획득(13),640,없음(0),0,53,90272,누적배럴(18),없음(0),90270,,,,,,,,,,,,,,,,,,,
,90272,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드167,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),30,누적배럴(18),70,없음(0),0,55,90273,연속성공횟수(14),없음(0),90271,,,,,,,,,,,,,,,,,,,
,90273,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드168,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,연속성공횟수(14),5,없음(0),0,54,90274,누적판매금액(11),없음(0),90272,,,,,,,,,,,,,,,,,,,
,90274,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드169,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),811,누적판매금액(11),7000,없음(0),0,52,90275,누적늑대잡이(1),없음(0),90273,,,,,,,,,,,,,,,,,,,
,90275,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드170,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1112,누적늑대잡이(1),15,없음(0),0,51,90276,누적배럴(18),없음(0),90274,,,,,,,,,,,,,,,,,,,
,90276,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드171,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적배럴(18),90,없음(0),0,55,90277,누적건초획득(13),없음(0),90275,,,,,,,,,,,,,,,,,,,
,90277,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드172,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,누적건초획득(13),320,없음(0),0,53,90278,연속성공횟수(14),없음(0),90276,,,,,,,,,,,,,,,,,,,
,90278,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드173,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,연속성공횟수(14),4,없음(0),0,54,90279,누적배럴(18),없음(0),90277,,,,,,,,,,,,,,,,,,,
,90279,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드174,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,누적배럴(18),90,없음(0),0,55,90280,연속성공횟수(14),없음(0),90278,,,,,,,,,,,,,,,,,,,
,90280,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드175,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,연속성공횟수(14),4,없음(0),0,54,90281,필드동물배치(70),없음(0),90279,,,,,,,,,,,,,,,,,,,
,90281,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드176,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2201,필드동물배치(70),209,없음(0),0,48,90282,임시일반보물뽑기(23),없음(0),90280,,,,,,,,,,,,,,,,,,,
,90282,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드177,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시일반보물뽑기(23),2,없음(0),0,64,90283,임시보물강화횟수(25),없음(0),90281,,,,,,,,,,,,,,,,,,,
,90283,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드178,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시보물강화횟수(25),2,없음(0),0,67,90284,임시배틀참여횟수(26),없음(0),90282,,,,,,,,,,,,,,,,,,,
,90284,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드179,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시배틀참여횟수(26),3,없음(0),0,69,90285,임시동물강화(27),없음(0),90283,,,,,,,,,,,,,,,,,,,
,90285,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드180,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,임시동물강화(27),5,없음(0),0,71,90286,임시동물분해(28),없음(0),90284,,,,,,,,,,,,,,,,,,,
,90286,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드181,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),700,임시동물분해(28),3,없음(0),0,73,90287,임시보물분해(29),없음(0),90285,,,,,,,,,,,,,,,,,,,
,90287,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드182,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),700,임시보물분해(29),3,없음(0),0,74,90288,임시동물합성(20),없음(0),90286,,,,,,,,,,,,,,,,,,,
,90288,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드183,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),700,임시동물합성(20),1,없음(0),0,76,90289,누적일반교배(21),없음(0),90287,,,,,,,,,,,,,,,,,,,
,90289,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드184,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2101,누적일반교배(21),4,없음(0),0,56,90290,누적늑대잡이(1),없음(0),90288,,,,,,,,,,,,,,,,,,,
,90290,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드185,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),711,누적늑대잡이(1),12,없음(0),0,51,90291,누적판매금액(11),없음(0),90289,,,,,,,,,,,,,,,,,,,
,90291,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드186,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),20,누적판매금액(11),4000,없음(0),0,52,90292,누적늑대잡이(1),없음(0),90290,,,,,,,,,,,,,,,,,,,
,90292,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드187,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90293,누적배럴(18),없음(0),90291,,,,,,,,,,,,,,,,,,,
,90293,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드188,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적배럴(18),90,없음(0),0,55,90294,누적판매금액(11),없음(0),90292,,,,,,,,,,,,,,,,,,,
,90294,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드189,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),811,누적판매금액(11),4000,없음(0),0,52,90295,누적늑대잡이(1),없음(0),90293,,,,,,,,,,,,,,,,,,,
,90295,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드190,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),15,없음(0),0,51,90296,누적판매금액(11),없음(0),90294,,,,,,,,,,,,,,,,,,,
,90296,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드191,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1112,누적판매금액(11),5000,없음(0),0,52,90297,누적늑대잡이(1),없음(0),90295,,,,,,,,,,,,,,,,,,,
,90297,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드192,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90298,연속성공횟수(14),없음(0),90296,,,,,,,,,,,,,,,,,,,
,90298,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드193,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,연속성공횟수(14),4,없음(0),0,54,90299,누적판매금액(11),없음(0),90297,,,,,,,,,,,,,,,,,,,
,90299,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드194,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적판매금액(11),4000,없음(0),0,52,90300,누적배럴(18),없음(0),90298,,,,,,,,,,,,,,,,,,,
,90300,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드195,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1025,누적배럴(18),70,없음(0),0,55,90301,누적판매금액(11),없음(0),90299,,,,,,,,,,,,,,,,,,,
,90301,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드196,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,누적판매금액(11),5000,없음(0),0,52,90302,누적늑대잡이(1),없음(0),90300,,,,,,,,,,,,,,,,,,,
,90302,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드197,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적늑대잡이(1),12,없음(0),0,51,90303,누적건초획득(13),없음(0),90301,,,,,,,,,,,,,,,,,,,
,90303,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드198,1,-1,저급(0),0,16,0,0,0,0,1,1,0,건초(3),20,누적건초획득(13),160,없음(0),0,53,90304,누적배럴(18),없음(0),90302,,,,,,,,,,,,,,,,,,,
,90304,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드199,1,-1,저급(0),0,16,0,0,0,0,1,1,0,하트(2),30,누적배럴(18),90,없음(0),0,55,90305,연속성공횟수(14),없음(0),90303,,,,,,,,,,,,,,,,,,,
,90305,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드200,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),1201,연속성공횟수(14),4,없음(0),0,54,90306,누적판매금액(11),없음(0),90304,,,,,,,,,,,,,,,,,,,
,90306,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드201,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적판매금액(11),4000,없음(0),0,52,90307,누적늑대잡이(1),없음(0),90305,,,,,,,,,,,,,,,,,,,
,90307,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드202,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2101,누적늑대잡이(1),15,없음(0),0,51,90308,누적건초획득(13),없음(0),90306,,,,,,,,,,,,,,,,,,,
,90308,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드203,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),550,누적건초획득(13),160,없음(0),0,53,90309,필드동물배치(70),없음(0),90307,,,,,,,,,,,,,,,,,,,
,90309,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드204,1,-1,저급(0),0,16,0,0,0,0,1,1,0,아이템코드(5),2201,필드동물배치(70),112,없음(0),0,49,90310,임시일반보물뽑기(23),없음(0),90308,,,,,,,,,,,,,,,,,,,
,90310,경쟁모드(901),경쟁모드(901),없음(0),경쟁모드205,1,-1,저급(0),0,16,0,0,0,0,1,1,0,코인(0),600,임시일반보물뽑기(23),2,없음(0),0,64,90311,임시보물강화횟수(25),없음(0),90309,,,,,,,,,,,,,,,,,,,
